exchange,instrument_id,base_asset,quote_asset
Binance,BTCUSD_PERP,BTC,USD
Binance,BTCUSD_250627,BTC,USD
Binance,BTCUSD_250926,BTC,USD
Binance,ETHUSD_PERP,ETH,USD
Binance,ETHUSD_250627,ETH,USD
Binance,ETHUSD_250926,ETH,USD
Binance,LINKUSD_PERP,LINK,USD
Binance,BNBUSD_PERP,BNB,USD
Binance,TRXUSD_PERP,TRX,USD
Binance,DOTUSD_PERP,DOT,USD
Binance,ADAUSD_PERP,ADA,USD
Binance,EOSUSD_PERP,EOS,USD
Binance,LTCUSD_PERP,LTC,USD
Binance,BCHUSD_PERP,BCH,USD
Binance,XRPUSD_PERP,XRP,USD
Binance,ETCUSD_PERP,ETC,USD
Binance,FILUSD_PERP,FIL,USD
Binance,EGLDUSD_PERP,EGLD,USD
Binance,DOGEUSD_PERP,DOGE,USD
Binance,UNIUSD_PERP,UNI,USD
Binance,THETAUSD_PERP,THETA,USD
Binance,XLMUSD_PERP,XLM,USD
Binance,SOLUSD_PERP,SOL,USD
Binance,SANDUSD_PERP,SAND,USD
Binance,MANAUSD_PERP,MANA,USD
Binance,AVAXUSD_PERP,AVAX,USD
Binance,NEARUSD_PERP,NEAR,USD
Binance,ATOMUSD_PERP,ATOM,USD
Binance,AAVEUSD_PERP,AAVE,USD
Binance,AXSUSD_PERP,AXS,USD
Binance,ALGOUSD_PERP,ALGO,USD
Binance,RUNEUSD_PERP,RUNE,USD
Binance,GMTUSD_PERP,GMT,USD
Binance,OPUSD_PERP,OP,USD
Binance,ENSUSD_PERP,ENS,USD
Binance,CHZUSD_PERP,CHZ,USD
Binance,APTUSD_PERP,APT,USD
Binance,WIFUSD_PERP,WIF,USD
Binance,DOGSUSD_PERP,DOGS,USD
Binance,SUIUSD_PERP,SUI,USD
Binance,WLDUSD_PERP,WLD,USD
Binance,ADAUSD_250627,ADA,USD
Binance,LINKUSD_250627,LINK,USD
Binance,BCHUSD_250627,BCH,USD
Binance,DOTUSD_250627,DOT,USD
Binance,XRPUSD_250627,XRP,USD
Binance,LTCUSD_250627,LTC,USD
Binance,BNBUSD_250627,BNB,USD
Binance,SOLUSD_250627,SOL,USD
Binance,ADAUSD_250926,ADA,USD
Binance,LINKUSD_250926,LINK,USD
Binance,BCHUSD_250926,BCH,USD
Binance,DOTUSD_250926,DOT,USD
Binance,XRPUSD_250926,XRP,USD
Binance,LTCUSD_250926,LTC,USD
Binance,BNBUSD_250926,BNB,USD
