exchange,instrument_id,base_asset,quote_asset
Binance,BTCUSD_PERP,BTC,USD
Binance,BTCUSD_250627,BTC,USD
Binance,BTCUSD_250926,BTC,USD
Binance,ETHUSD_PERP,ETH,USD
Binance,ETHUSD_250627,ETH,USD
Binance,ETHUSD_250926,ETH,USD
Binance,XRPUSD_PERP,XRP,USD
Binance,SOLUSD_PERP,SOL,USD
Binance,XRPUSD_250627,XRP,USD
Binance,SOLUSD_250627,SOL,USD
Binance,XRPUSD_250926,XRP,USD
Binance,SOLUSD_250926,SOL,USD
Binance,BTCUSDT,BTC,USDT
Binance,ETHUSDT,ETH,USDT
Binance,XRPUSDT,XRP,USDT
Binance,SOLUSDT,SOL,USDT
Binance,ETHBTC,ETH,BTC
Binance,BTCUSDC,BTC,USDC
Binance,ETHUSDC,ETH,USDC
Binance,SOLUSDC,SOL,USDC
Binance,XRPUSDC,XRP,USDC
Binance,BTCUSDT_250627,BTC,USDT
Binance,ETHUSDT_250627,ETH,USDT
Binance,BTCUSDT_250926,BTC,USDT
Binance,ETHUSDT_250926,ETH,USDT
BingX,BTC-USDT,BTC,USDT
BingX,ETH-USDT,ETH,USDT
BingX,XRP-USDT,XRP,USDT
BingX,SOL-USDT,SOL,USDT
BingX,BTC-USDC,BTC,USDC
BingX,ETH-USDC,ETH,USDC
BingX,SOL-USDC,SOL,USDC
BingX,XRP-USDC,XRP,USDC
BingX,SOL-USD,SOL,USD
BingX,BTC-USD,BTC,USD
BingX,ETH-USD,ETH,USD
BingX,XRP-USD,XRP,USD
Bitfinex,tBTCF0:USTF0,BTC,USDT
Bitfinex,tETHF0:USTF0,ETH,USDT
Bitget,BTCUSDT_UMCBL,BTC,USDT
Bitget,ETHUSDT_UMCBL,ETH,USDT
Bitget,XRPUSDT_UMCBL,XRP,USDT
Bitget,SOLUSDT_UMCBL,SOL,USDT
Bitget,BTCUSD_DMCBL,BTC,USD
Bitget,ETHUSD_DMCBL,ETH,USD
Bitget,XRPUSD_DMCBL,XRP,USD
Bitget,SOLUSD_DMCBL,SOL,USD
Bitget,ETHUSDM25_DMCBL,ETH,USD
Bitget,BTCUSDM25_DMCBL,BTC,USD
Bitget,ETHUSDU25_DMCBL,ETH,USD
Bitget,BTCUSDU25_DMCBL,BTC,USD
Bitmex,XRPUSDT,XRP,USDT
Bitmex,SOLUSD,SOL,USD
Bitmex,SOLUSDT,SOL,USDT
Bitmex,XRPUSD,XRP,USD
